id,name,gloss,source
90,tech_startup_pivot_meeting,A 12-person startup all-hands the day a Series B was rescinded,curated
91,prosecutor_overcharge_review,A prosecutor's office reviewing the charging decision in a viral video case,curated
92,homeless_outreach_van_overnight,A homeless-outreach van on overnight rounds in winter,curated
93,subway_emergency_brake,A subway car stopped between stations for 47 minutes,curated
94,public_housing_demolition,A public-housing tower the week of its demolition vote,curated
95,asylum_interview_office,An asylum officer's office during one applicant's credible-fear interview,curated
96,mass_grave_excavation_site,A forensic-anthropology team's mass-grave excavation in Bosnia or Argentina,curated
97,election_observer_polling_station,An OSCE election observer at a polling station in a contested country,curated
98,plastic_recycling_sorting_line,A plastic-recycling sorting line on a 12-hour shift,curated
99,influencer_clinic_botched,A cosmetic-surgery clinic the morning after an influencer's botched procedure went viral,curated
100,sober_living_house_relapse,A sober-living house at the moment a long-time resident relapses,curated
